"821","20","ILLUMINATED ROCKER SWITCH","DM64J72S205Q3","C&K","TH","SW","1"
"822","20","4 PIN CIRCULAR RECEPTACLE","2RMG14B4SH1A1","ALLIED","TH","CIRCULAR_CON","3"
"823","20","4 SOCKET PLUG WITH CABLE CLAMP","2RM14KPN4G1A1","ALLIED","TH","CIRCULAR_CON","3"
"824","20","7 PIN CIRCULAR RECEPTACLE","2RMG18B7SH1A1","ALLIED","TH","CIRCULAR_CON","1"
"825","20","7 SOCKET PLUG WITH CABLE CLAMP","2RM18KPN7G1A1","ALLIED","TH","CIRCULAR_CON","1"
"826","20","10 PIN CIRCULAR RECEPTACLE","2RMG22B10SH1A1","ALLIED","TH","CIRCULAR_CON","2"
"827","20","10 SOCKET PLUG WITH CABLE CLAMP","2RM22KPN10G1A1","ALLIED","TH","CIRCULAR_CON","2"
"828","20","19 PIN CIRCULAR RECEPTACLE","2RMG24B19SH1A1","ALLIED","TH","CIRCULAR_CON","1"
"829","20","19 SOCKET PLUG WITH CABLE CLAMP","2RM24KPN19G1A1","ALLIED","TH","CIRCULAR_CON","1"
"830","20","USB CONNECTOR (FOR CONFIGURATOR)","USB TV 21N","AMPHENOL","TH","CIRCULAR_USB_CON","1"
"831","20","DUST CAP  SQUARE FLANGE  USB,NICKEL FINISH","USB TVC 2N","AMPHENOL","TH","CIRCULAR_USB_CON","1"
"832","20","GASKET FOR SQUARE FLANGE","JE-15",,"TH","GASKET","1"
"833","21","10 SOCKET CIRCULAR RECEPTACLE-SOURIAU","85100E1210S50","SOURIAU","TH","CIRCULAR_CON","1"
"834","21","10 PIN PLUG WITH CABLE CLAMP-SOURIAU","85106EC1210P50","SOURIAU","TH","CIRCULAR_CON","1"
"835","22","CSI (TI) SCINTILLATOR WITH INTEGRATED PMT AND VOLTAGE DIVIDER BASE","CSI","AMCRYS/EQVT'","TH","CRYSTALS_DET","1"
"836","22","NaI (TI) SCINTILLATOR WITH INTEGRATED PMT AND VOLTAGE DIVIDER BASE","NAI","AMCRYS/EQVT'","TH","CRYSTALS_DET","1"
"837","22","BNC PLUG","UG-260B/U","AMPHENOL","TH","CIRCULAR_CON","1"
"838","22","SHV PLUG","R317005000","RADIALL","TH","CIRCULAR_CON","1"
"839","23","EXTERNAL ALARM UNIT ","TBRY","BANNER ENGINEERING","TH","ALRAM","1"
"840","23","PUSH BUTTON SWITCH","IZNP1S4","IZ series","TH","SW","1"
"4847","24","GM DETECTOR ","ZP1211","CENTRONICS","TH","DET_GM","2"
"4848","24","BUZZER","10700075","WERMA","PANEL MOUNT","BZ","1"
"4849","24","POWER ON LED","Q14P1BXXR220E","APEM","PANEL MOUNT","LED","1"
"4850","24","GREEN LED ","Q14P2BXXG12E","APEM","PANEL MOUNT","LED","1"
"4851","24","RED LED","Q14P2BXXR12E","APEM","PANEL MOUNT","LED","1"
"4852","24","YELLOW LED","Q14P2BXXY12E","APEM","PANEL MOUNT","LED","2"
"4853","24","USB TYPE-A PANEL MOUNT CONNECTOR ","USBFTV21N","AMPHENOL","PANEL MOUNT","CIRCULAR_USB_CON","1"
"4854","24","DUST CAP FOR USB RECEPTACLE"," USBFTVC2N","AMPHENOL","PANEL MOUNT","CIRCULAR_USB_CON","1"
"4855","24","TOGGLE SWITCH","12148 X 778","APEM","PANEL MOUNT","SW","1"
"4856","24","4 PIN PANEL MOUNT CONNECTOR,PLUG","2RM14B4SH1A1/3GP","ALLIED","PANEL MOUNT","CIRCULAR_CON","2"
"4857","24","4 PIN CABLE MOUNT CONNECTOR,SOCKET","2RM14KPN4G1A1/3GP","ALLIED","PANEL MOUNT","CIRCULAR_CON","2"
"4858","24","10 PIN PANEL MOUNT CONNECTOR","2RM22B10SH1A1/3GP","ALLIED","PANEL MOUNT","CIRCULAR_CON","3"
"4859","24","10 PIN CABLE MOUNT CONNECTOR","2RM22KPN10G1A1/3GP","ALLIED","PANEL MOUNT","CIRCULAR_CON","3"
"4860","24","RG-196A/U","RG-196A/U","HUBER+SUHNER..","TH","CABLES","100"
"4861","24","3-CORE SHIELD CABLE","83335E","BELDEN","TH ","CABLES ","100"
"4862","24","3 PIN PANEL MOUNT CONNECTOR ","2RM22B 4SH3A1/3GP"," ","PANEL MOUNT","CIRCULAR_CON","2"
"4863","24","3 PIN CABLE MOUNT CONNECTOR ","2PM 06E 22-4P/3 GP127"," ","PANEL MOUNT","CIRCULAR_CON","2"
"4864","24","LEDS ON TEST PANEL INSIDE MONITOR","LRH-2-07 "," ","PANEL MOUNT","LED","3"
"4865","24","TEST JACKS ON TEST PANEL INSIDE MONITOR","BS-02-04"," ","PANEL MOUNT","TEST JACK","3"
"4866","24","FUSE HOLDER ","FH-1/R-04","  ","PANEL MOUNT","FH","1"
"4867","24","FUSE","2T2AL250V"," ","PANEL MOUNT","F","1"
"4868","24","PUSH BUTTONS SWITCH ","PBS-1/R"," ","PANEL MOUNT","SW","1"
"4869","24","PUSH BUTTONS MOMENTARY, IP RATED","IZPP1F462LOG","APEM","PANEL MOUNT","SW","1"
"4870","25","PUSH BUTTON MOMENTRY SWITCH ","CW4B-M1E-10R","IDEC","PANEL MOUNT","SW","1"
"4871","25","POWER ON LED","Q14P1BXXR220E","APEM","PANEL MOUNT","LED","2"
"4872","25","GREEN LED ","Q14P2BXXG12E","APEM","PANEL MOUNT","LED","1"
"4873","25","RED LED","Q14P2BXXR12E","APEM","PANEL MOUNT","LED","1"
"4874","25","YELLOW LED","Q14P2BXXY12E","APEM","PANEL MOUNT","LED","1"
"4875","25","USB TYPE-A PANEL MOUNT CONNECTOR ","USBFTV21N","AMPHENOL","PANEL MOUNT","CIRCULAR_USB_CON","1"
"4876","25","DUST CAP FOR USB RECEPTACLE"," USBFTVC2N","AMPHENOL","PANEL MOUNT","CIRCULAR_USB_CON","1"
"4877","25","TOGGLE SWITCH","12148 X 778","APEM","PANEL MOUNT","SW","2"
"4878","25","4 PIN PANEL MOUNT CONNECTOR,PLUG","2RM14B4SH1A1/3GP","ALLIED","PANEL MOUNT","CIRCULAR_CON","1"
"4879","25","4 PIN CABLE MOUNT CONNECTOR,SOCKET","2RM14KPN4G1A1/3GP","ALLIED","PANEL MOUNT","CIRCULAR_CON","1"
"4880","25","10 PIN PANEL MOUNT CONNECTOR","2RM22B10SH1A1/3GP","ALLIED","PANEL MOUNT","CIRCULAR_CON","1"
"4881","25","10 PIN CABLE MOUNT CONNECTOR","2RM22KPN10G1A1/3GP","ALLIED","PANEL MOUNT","CIRCULAR_CON","1"
"4882","25","PIPS DETECTOR","CM450","CANBERRA","SEMICONDUCTOR_DET","SEMICONDUCTOR DETECTOR","2"
"4883","25","SOURCES FOR BETA","PB-210 ,TYPE: BF-210-A ","ECKERT & ZIEGLER "," ","CHECK SOURCE ","1"
"4884","25","4 PIN RECEPTACLE","2RM22B4SH3A1/3GP ","ALLIED","PANEL MOUNT","CIRCULAR_CON","1"
"4885","25","4 SOCKET PLUG WITH CABLE CLAMP","2RM22KPN4G3A1/3GP","ALLIED","PANEL MOUNT","CIRCULAR_CON","1"
"4886","25","7 PIN  CIRCULAR RECEPTACLE","2RM18B7SH1A1/3GP","ALLIED","PANEL MOUNT","CIRCULAR_CON","3"
"4887","25","7 SOCKET PLUG WITH CABLE CLAMP","2RM18KPN7G1A1/3GP","ALLIED","PANEL MOUNT","CIRCULAR_CON","3"
"4888","25","FLOW METER","FM-215-8","PANASONIC","PANEL MOUNT","FLW","1"
"4889","25","PUMP","VT4.4/4.8","GAST/BECKER/EQVT.","TH ","PMP","1"
"4890","25","4 PIN PANEL MOUNT CONNECTOR ","2PM0222-4S/3GP127","ALLIED","PANEL MOUNT","CIRCULAR_CON","1"
"4891","25","4PIN CABLE MOUNT CONNECTOR ","2PM06E22-4P/3GP127","ALLIED","PANEL MOUNT","CIRCULAR_CON","1"
"4892","25","FUSE HOLDER","FH-1/R","ELCOM","PANEL MOUNT","FH","1"
"4893","25","FUSE","0218002.HXP","LITTLEFUSE","PANEL MOUNT","F","1"
"4894","25","BUZZER","10700075","WERMA","PANEL MOUNT","BZ","1"
"4895","25","USB CABLE","UR020-010","TRIPPLITE","TH ","CABLES","1"
"4896","25","PANEL MOUNT BNC RECEPTACLE","031-10-RFXG1","AMPHENOL","PANEL MOUNT","TH","6"
"4897","25","CABLE MOUNT BNC CONNECTOR","031-212","AMPHENOL","PANEL MOUNT","TH ","6"
"4898","25","RG59 BNC CABLE","BNC-BNC PL RG59U 5M ","MULTICOMP","TH ","CABLES","5"
"4899","26","BUZZER","10700075","WERMA","PANEL MOUNT","BZ","1"
"4900","26","PUSH BUTTONS MOMENTARY, IP RATED","IZPP1F462LOG","APEM","PANEL MOUNT","SW","1"
"4901","26","POWER ON LED","Q14P1BXXR220E","APEM","PANEL MOUNT","LED","1"
"4902","26","GREEN LED ","Q14P2BXXG12E","APEM","PANEL MOUNT","LED","1"
"4903","26","RED LED","Q14P2BXXR12E","APEM","PANEL MOUNT","LED","1"
"4904","26","YELLOW LED","Q14P2BXXY12E","APEM","PANEL MOUNT","LED","1"
"4905","26","USB TYPE-A PANEL MOUNT CONNECTOR ","USBFTV21N","AMPHENOL","PANEL MOUNT","CIRCULAR_USB_CON","1"
"4906","26","DUST CAP FOR USB RECEPTACLE"," USBFTVC2N","AMPHENOL","PANEL MOUNT","CIRCULAR_USB_CON","1"
"4907","26","TOGGLE SWITCH","12148 X 778","APEM","PANEL MOUNT","SW","1"
"4908","26","4 PIN PANEL MOUNT CONNECTOR,PLUG","2RM14B4SH1A1/3GP","ALLIED","PANEL MOUNT","CIRCULAR_CON","1"
